asset_id,dev_eui,join_eui,app_key,Heartbeat Time (UTC) (00:00 UTC + (DevEUI[7]*256+DevEUI[6]) % 1440 minutes (FRD 4.9))
UNIT-0030,464C58611630AFA2,B2DA3EFC5211802B,5055754AD0A80870B9075E0999E606A0,
UNIT-0031,464C5864F33CD94B,7E16271348B03A83,A254E7367FF437E034EF25417F82FE95,
UNIT-0032,464C581FA9856CAC,42B8A7AB563C7BEC,196C83D12A88D9000E8039BF910ED680,
UNIT-0033,464C58C79235A6AC,82D15995F99EB2A2,7F37C7EA4C438C272062F76A756D9497,
UNIT-0034,464C58ACE986A8B9,A6BA7FDD18BEF952,AECD1D81D323E34518C39E68CA9A7D9F,
UNIT-0035,464C58C43075601D,869AFC2CD4A42B39,7123684B9EE16B23F63654C3AF3C0631,
UNIT-0036,464C588A04BF5771,4203B1F7A064FA64,6A94FAFD37B20C62D6AE568F71CEB2A6,
UNIT-0037,464C5858E1916788,32292507DBA5040F,0A2C6825DD13F3E284ED56D13DA55E30
UNIT-0038,464C58812FA0ACE6,6A0E539B4B75977A,E815A3C6797732C8524737E55CAE8E41
UNIT-0039,464C58BD6494A5EE,223786AFBD86550D,220B322B2E04AE3E5CD1C2BC23C3A21B
UNIT-0040,464C58A7C803D925,7A5277FB7098E435,5C0D68C434894849A622B8C61E6AD4F2
UNIT-0041,464C583B0C98E2A8,923E9D0304789EFC,93608DCF5EBA337E445A52306BBFE9E6
UNIT-0042,464C588F47CA18E1,7A81B57421DB31D0,59AD9032519110116D2AD27BA33A7241
UNIT-0043,464C583BD7FC5EBB,C6419B3DDB02B7E6,D9D0DE267BD6E668E5ECE61B4C0BD33D
UNIT-0044,464C5865B0C05D00,6E70D82EF8CA368D,8321EB837EF4EE3A0847AA5405D04A46
UNIT-0045,464C583AD8228EA1,16C68BCB1C01B9D9,69E8BD083D44589965EA46763AFFBF68
UNIT-0046,464C587D2C64A621,B66967983D520C24,82BB329FEFBDF8E83B9EF449DB9B8BFA
UNIT-0047,464C58F3AC3E9558,8683712AA42EEDC4,286D398BBF41797836456E522C9CE83F
UNIT-0048,464C584924141FCB,5E0A58A29311AAFB,83EBAFFB81285392C402AF57CE820FA9
UNIT-0049,464C58F47CED2955,A6F9DB2C46F7AE8B,EF60949BE2821DB3874154A0C3DB4ABB
UNIT-0050,464C584F701B7A40,42C2BB35A8DE16AF,6A56BFD866F5357783EBA50A43BA9CA1
UNIT-0051,464C58DA4390EE1B,22F8C42FCC1BFF5F,04FAB966CB723D4C78B9CCC61AEAA344
UNIT-0052,464C58A0F1F0844C,867384BBFA967614,84E6993D6744FDEA4A5F4A5BD214CD11
UNIT-0053,464C582943760764,22F48430E952C606,82D5EFF8F7815D6EFA7CDA877DF86CE6
UNIT-0054,464C58C9C119F50E,F2A8DD5064363F96,4C7EDEC931EB2378BA7B5E95E3D556C4
UNIT-0055,464C58B024427CDB,2ACB0BD794F982F6,84E327B5DFCFCADEA5D1A18A3BD235C1
UNIT-0056,464C5828F06C2771,AA0BAF769C1972C1,A3E108A098DBE13776CA88E0A0BEAC26
UNIT-0057,464C58B86BED35EF,062F6E4DEC3CB0AD,738873A360FFBE39B9ECB969F96C3D34
UNIT-0058,464C58B93A1BFC9F,46C59245BF6E2FA5,F75704C57034A280B816BE4D568E8CD8
UNIT-0059,464C58A93923FDC7,8E5C62E793C0107A,95FCDE29BF830D55643069D2D677414E
